platform,platform_id,name,country,rating,students,sessions,youtube_url,is_pro,prospect_score,profile_url,headline
"italki","5606369","BibleIELTSkids -Walt","GB","5","1622","6913","https://www.youtube.com/watch?v=CHkO4CEDLIg","true","100","https://www.italki.com/en/teacher/5606369","Oxford-trained university teacher: Bible, IELTS, Kids, Business, Programming, Role-Play"
"italki","6659348","Erica","US","5","1998","16186","https://www.youtube.com/watch?v=i3kcdxVprvE","true","100","https://www.italki.com/en/teacher/6659348","Friendly, flexible, and patient professional teacher"
"italki","3477251","Daniel","GB","5","2266","13771","https://www.youtube.com/watch?v=wvoy3kmWgg4","true","100","https://www.italki.com/en/teacher/3477251","Job Interview | Business English | IELTS Speaking | Speaking Practice | University Interview"
"italki","9986514","Rye","ID","5","705","5597","https://www.youtube.com/watch?v=Rpj-aP5xQC4","true","100","https://www.italki.com/en/teacher/9986514","Native, TEFL & TESOL, French from 0, Business English, Exam - TOEFL - IELTS"
"italki","6454492","Esther","FR","5","691","7218","https://www.youtube.com/watch?v=cFBQe45hhOs","true","100","https://www.italki.com/en/teacher/6454492","Certified teacher with over 6 years of experience"
"italki","6905113","Jason Reef","NL","4.9","1400","6260","https://www.youtube.com/watch?v=-Vumk2vRslM","true","100","https://www.italki.com/en/teacher/6905113","From zero to hero. I use grammar books, most students are beginner. Couples also possible"
"italki","2586036","ANA POLYGLOT ⭐⭐⭐⭐⭐","DE","4.9","1621","9357","https://www.youtube.com/watch?v=VvT0HGqawsg","true","100","https://www.italki.com/en/teacher/2586036","⭐ Premium German coaching • speaking-first • direct feedback • exams + interviews"
"italki","1210798","Patricia","DE","5","521","5806","https://www.youtube.com/watch?v=2eWiP4feBrM","true","100","https://www.italki.com/en/teacher/1210798","Flawless German & Classics: grammar, literature, business: inspiring & passionate| MA Philology, MBA"
"italki","7199114","Jennifer","DE","5","1654","21450","https://www.youtube.com/watch?v=h7ozWXIWC68","true","100","https://www.italki.com/en/teacher/7199114","Professionelle Lehrkraft mit 8 Jahren Unterrichtserfahrung und Testvorbereitung"
"italki","8183170","Andrew","CA","5","624","6498","https://www.youtube.com/watch?v=yZYhwTdrIMw","true","100","https://www.italki.com/en/teacher/8183170","IELTS & Business English | Clear Structure, Real Results"
"italki","7511376","Tomo I.","JP","5","895","7316","https://www.youtube.com/watch?v=1Ow2eeWQMcM","true","100","https://www.italki.com/en/teacher/7511376","I use google document for each student, so my students could easily review what you learned later"
"italki","1054714","Jørgen","DK","5","576","7829","https://www.youtube.com/watch?v=lmZvLHHkN6k","true","100","https://www.italki.com/en/teacher/1054714","Learning Danish is a challenge - but more interesting and fun with a good guide"
"italki","3185896","Frank","CN","5","1220","12390","https://www.youtube.com/watch?v=E1BFVAeLh9w","true","100","https://www.italki.com/en/teacher/3185896","Beginner, Conversation, HSK, Business, graded reader writer"
"italki","3469507","Rose - Kids & Adults","US","5","1058","13259","https://www.youtube.com/watch?v=APa5Xr_hWAc","true","100","https://www.italki.com/en/teacher/3469507","🌸🌼17 years of teaching experience - Welcoming students ages 3 to 103!🌼🌸"
"italki","3141206","𝕃𝕀𝕃𝕃𝕐❜𝕊","FR","5","1244","6061","https://www.youtube.com/watch?v=fvAThObQ0jY","true","100","https://www.italki.com/en/teacher/3141206","📚 Professional French teacher A1-C2|🗣️ Specialized in Phonetics|🥇Certified examiner for Exams|"
"italki","3511385","Nigel Wright","GB","5","1673","12806","https://www.youtube.com/watch?v=TShSqf93geg","true","100","https://www.italki.com/en/teacher/3511385","Qualified Teacher. Teaching Since 2009. Speaking, Business, Exams, Interviews. Always happy to help."
"italki","2498099","FluentDutch Sensei🍉","NL","5","783","5351","https://www.youtube.com/watch?v=eKQx8hpItXo","true","100","https://www.italki.com/en/teacher/2498099","Holiday 10/10 - 19/10"
"italki","7024528","Victor Muñoz","CO","5","645","6051","https://www.youtube.com/watch?v=YgpQjGc3Tzk","true","100","https://www.italki.com/en/teacher/7024528","Certified English and Spanish teacher with over 15 years of teaching experience"
"italki","1572259","Khristina / Христина","RU","5","700","10777","https://www.youtube.com/watch?v=P2ftSmN4zTo","true","100","https://www.italki.com/en/teacher/1572259","Do you want to start speaking Russian well or for the exam or lessons for your child? I can help!"
"italki","5533692","Damla Ünal👩‍🏫","TR","5","653","6879","https://www.youtube.com/watch?v=M4cTwvgoCWI","true","100","https://www.italki.com/en/teacher/5533692","Certified Teacher, 7 Years' Expertise, more than 6,000 lessons given on Italki"
"italki","2987886","Seva 謝老师","RU","5","979","11499","https://www.youtube.com/watch?v=9J1T_3_TC9c","true","100","https://www.italki.com/en/teacher/2987886","📚✅ IELTS/ HSK/ TORFL 10K+ ⭐  Teacher 👨‍🎓 专家教师"
"italki","7069407","Teacher Paula Rossi","BR","5","828","12375","https://www.youtube.com/watch?v=81qYwYyD3ik","true","100","https://www.italki.com/en/teacher/7069407","Cambridge certified teacher with over 10 years of experience"
"italki","5167533","Cindy CHENE","FR","5","1807","18797","https://www.youtube.com/watch?v=AVaFhYigIm4","true","100","https://www.italki.com/en/teacher/5167533",""
"italki","2432718","Maria Athena","US","5","676","7228","https://www.youtube.com/watch?v=yKwMICTWC4M","true","100","https://www.italki.com/en/teacher/2432718",""
"italki","1610231","June佳佳 ⭐️Adults","CN","5","704","7821","https://www.youtube.com/watch?v=CdeKlCe8MZo","true","100","https://www.italki.com/en/teacher/1610231","✅7000+ lessons✅Daily topics✅Beginner✅HSK✅Conversational✅Writer (HSK graded articles)"
